Product ID;Category;Sub-Category;Product Name
FUR-BO-10001798;Furniture;Bookcases;Bush Somerset Collection Bookcase
FUR-CH-10000454;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back
OFF-LA-10000240;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal
FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table
FUR-FU-10001487;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood
TEC-PH-10002275;Technology;Phones;Mitel 5320 IP Phone VoIP phone
OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1"""
OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length
FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray
FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table
TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish
FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes
OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain